NC_003279.8	566	646	Satellite
NC_003279.8	1622	1744	DNA/MULE-MuDR
NC_003279.8	2052	3026	DNA
NC_003279.8	3124	3652	DNA
NC_003279.8	4423	4750	DNA
NC_003279.8	6369	6506	Unknown
NC_003279.8	6440	6635	DNA/hAT
NC_003279.8	6644	6728	DNA/hAT
NC_003279.8	6781	6886	DNA/PiggyBac?
NC_003279.8	7166	7254	DNA
NC_003279.8	7297	7307	DNA
NC_003279.8	7308	7362	DNA
NC_003279.8	7363	7384	DNA
NC_003279.8	9197	9266	DNA
NC_003279.8	9434	9508	DNA
NC_003279.8	10369	10458	DNA
NC_003279.8	10451	10580	DNA/TcMar-Tc1?
NC_003279.8	10806	11012	DNA/TcMar-Tc1?
NC_003279.8	11714	11876	DNA
NC_003279.8	12355	12477	DNA
NC_003279.8	12915	13020	DNA/hAT
NC_003279.8	13468	13558	DNA/hAT
NC_003279.8	13531	13592	DNA/MULE-MuDR
NC_003279.8	14033	14381	DNA/hAT
NC_003279.8	14654	14799	DNA/TcMar-Tc1?
NC_003279.8	14785	14903	DNA/TcMar-Tc1?
NC_003279.8	15528	15886	DNA/TcMar-Tc1?
NC_003279.8	16015	16171	DNA/hAT
NC_003279.8	17249	17418	DNA/MULE-MuDR
NC_003279.8	18843	18897	DNA/hAT
NC_003279.8	20574	20594	DNA/hAT
NC_003279.8	20595	20687	DNA/hAT
NC_003279.8	20696	20779	DNA/hAT
NC_003279.8	21736	21945	DNA
NC_003279.8	22048	22189	DNA
NC_003279.8	22300	22688	DNA/CMC-Chapaev
NC_003279.8	23603	23712	DNA/CMC-Chapaev
NC_003279.8	23713	24567	DNA/CMC-Chapaev
NC_003279.8	27149	27201	DNA
NC_003279.8	29479	29717	DNA/TcMar-Tc1?
NC_003279.8	30548	30640	DNA/TcMar-Tc1?
NC_003279.8	30745	30905	DNA/TcMar-Tc1?
NC_003279.8	31005	31105	DNA/TcMar-Tc1?
NC_003279.8	31234	31681	DNA/TcMar-Pogo
NC_003279.8	34205	34441	DNA
NC_003279.8	35680	35782	DNA
NC_003279.8	35822	35880	DNA
NC_003279.8	36974	37701	DNA/TcMar-Tc1
NC_003279.8	37561	37898	DNA/TcMar-Tc1
NC_003279.8	38314	38651	DNA/hAT
NC_003279.8	42562	42691	DNA/TcMar-Tc1?
NC_003279.8	42672	42825	DNA/TcMar-Tc1?
NC_003279.8	43248	43465	DNA
NC_003279.8	46013	46107	DNA/TcMar-Tc2
NC_003279.8	46203	46433	DNA/TcMar-Tc2
NC_003279.8	46555	46730	DNA
NC_003279.8	46901	47066	DNA
NC_003279.8	49447	49540	DNA
